State,Confirmed,Recovered,Deaths,Active,Last_Updated_Time,Migrated_Other,State_code
Total,2025409,1377384,41638,605933,6/8/2020 23:46,454,TT
Maharashtra,479779,316375,16792,146305,6/8/2020 20:42,307,MH
Tamil Nadu,279144,221087,4571,53486,6/8/2020 19:44,0,TN
Delhi,141531,127124,4059,10348,6/8/2020 18:39,0,DL
Karnataka,158254,80281,2897,75067,6/8/2020 21:19,9,KA
Andhra Pradesh,196789,112870,1753,82166,6/8/2020 19:45,0,AP
Uttar Pradesh,108974,63402,1918,43654,6/8/2020 17:53,0,UP
Gujarat,67811,50524,2579,14708,6/8/2020 21:28,0,GJ
West Bengal,86754,61023,1902,23829,6/8/2020 21:28,0,WB
Telangana,73050,52103,589,20358,6/8/2020 11:26,0,TG
Rajasthan,48996,35131,757,13108,6/8/2020 21:54,0,RJ
Bihar,68148,43820,388,23939,6/8/2020 17:29,1,BR
Haryana,39303,32640,458,6205,6/8/2020 20:29,0,HR
Assam,52818,37225,126,15464,6/8/2020 23:00,3,AS
Madhya Pradesh,36564,26902,946,8716,6/8/2020 19:55,0,MP
Odisha,40717,26888,280,13549,6/8/2020 20:44,0,OR
Jammu and Kashmir,23454,15708,436,7310,6/8/2020 18:19,0,JK
Kerala,30449,18333,98,11983,6/8/2020 20:08,35,KL
Punjab,20891,13659,517,6715,6/8/2020 21:19,0,PB
Jharkhand,15756,6594,145,9017,6/8/2020 23:00,0,JH
Chhattisgarh,11020,8088,77,2855,6/8/2020 23:00,0,CT
Uttarakhand,8623,5427,102,3056,6/8/2020 23:46,38,UT
Goa,7614,5453,66,2095,6/8/2020 19:39,0,GA
Tripura,5740,3793,31,1898,6/8/2020 11:43,18,TR
Puducherry,4621,2808,70,1743,6/8/2020 18:11,0,PY
Manipur,3217,1905,8,1304,6/8/2020 19:18,0,MN
Himachal Pradesh,3047,1865,13,1141,6/8/2020 22:26,28,HP
Ladakh,1595,1177,7,411,6/8/2020 20:38,0,LA
Nagaland,2580,819,6,1752,6/8/2020 18:39,3,NL
Arunachal Pradesh,1948,1245,3,700,6/8/2020 23:17,0,AR
Chandigarh,1327,777,20,529,6/8/2020 18:11,1,CH
Dadra and Nagar Haveli and Daman and Diu,1415,997,2,406,6/8/2020 20:07,10,DN
Meghalaya,990,345,5,640,6/8/2020 20:09,0,ML
Sikkim,829,353,1,475,6/8/2020 23:01,0,SK
Mizoram,538,288,0,249,6/8/2020 17:29,1,MZ
Andaman and Nicobar Islands,1123,355,16,752,6/8/2020 20:45,0,AN
State Unassigned,0,0,0,0,19/07/2020 09:40:01,0,UN
Lakshadweep,0,0,0,0,26/03/2020 07:19:29,0,LD
